Product Description,Company,Model,Color,RAM,ROM,Offers,Price,Exchange Offer,Ratings
"realme Narzo 30 Pro 5G (Blade Silver, 128 GB)",realme , Narzo 30 Pro 5G ,Blade Silver,8 GB,128 GB,18% off,"₹17,999","Upto ₹15,300 Off on Exchange",4.3
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)",realme , Narzo 30 Pro 5G ,Blade Silver,6 GB,64 GB,21% off,"₹14,999","Upto ₹14,450 Off on Exchange",4.4
"realme 8 (Cyber Black, 128 GB)",realme , 8 ,Cyber Black,8 GB,128 GB,15% off,"₹15,999","Upto ₹15,300 Off on Exchange",4.4
"realme 8 (Cyber Silver, 128 GB)",realme , 8 ,Cyber Silver,4 GB,128 GB,17% off,"₹13,999","Upto ₹13,300 Off on Exchange",4.3
"POCO M2 Reloaded (Greyish Black, 64 GB)",POCO , M2 Reloaded ,Greyish Black,4 GB,64 GB,20% off,"₹9,499","Upto ₹8,950 Off on Exchange",4.4
"realme C15 Qualcomm Edition (Power Silver, 64 GB)",realme , C15 Qualcomm Edition ,Power Silver,4 GB,64 GB,23% off,"₹9,999","Upto ₹9,450 Off on Exchange",4.4
"realme 8 (Cyber Silver, 128 GB)",realme , 8 ,Cyber Silver,6 GB,128 GB,16% off,"₹14,999","Upto ₹14,450 Off on Exchange",4.4
"realme 8 (Cyber Black, 128 GB)",realme , 8 ,Cyber Black,6 GB,128 GB,16% off,"₹14,999","Upto ₹14,450 Off on Exchange",4.4
"realme C15 Qualcomm Edition (Power Blue, 64 GB)",realme , C15 Qualcomm Edition ,Power Blue,4 GB,64 GB,23% off,"₹9,999","Upto ₹9,450 Off on Exchange",4.4
BlackZone B310,BlackZone , B310,,,,14% off,₹729,,3.9
Nokia 105 SS,Nokia , 105 SS,,,,,"₹1,222",,4.3
"REDMI 9 Power (Fiery Red, 64 GB)",REDMI , 9 Power ,Fiery Red,4 GB,64 GB,25% off,"₹10,499","Upto ₹9,900 Off on Exchange",4.3
SAMSUNG Guru 1200,SAMSUNG , Guru 1200,,,,2% off,"₹1,410",,4.3
"MOTOROLA G10 Power (Aurora Grey, 64 GB)",MOTOROLA , G10 Power ,Aurora Grey,4 GB,64 GB,26% off,"₹9,499","Upto ₹8,950 Off on Exchange",4.1
"OPPO A53 (Moonlight Black, 64 GB)",OPPO , A53 ,Moonlight Black,4 GB,64 GB,,"₹15,990","Upto ₹15,300 Off on Exchange",4.5
"realme C15 Qualcomm Edition (Power Blue, 32 GB)",realme , C15 Qualcomm Edition ,Power Blue,3 GB,32 GB,25% off,"₹8,999","Upto ₹8,350 Off on Exchange",4.3
"realme C15 Qualcomm Edition (Power Silver, 32 GB)",realme , C15 Qualcomm Edition ,Power Silver,3 GB,32 GB,25% off,"₹8,999","Upto ₹8,350 Off on Exchange",4.3
SAMSUNG Guru FM Plus,SAMSUNG , Guru FM Plus,,,,,"₹1,662",,4.2
"OPPO A53 (Moonlight Black, 128 GB)",OPPO , A53 ,Moonlight Black,6 GB,128 GB,27% off,"₹12,990","Upto ₹12,250 Off on Exchange",4.4
"REDMI 9 Prime (Sunrise Flare, 64 GB)",REDMI , 9 Prime ,Sunrise Flare,4 GB,64 GB,16% off,"₹9,999","Upto ₹9,450 Off on Exchange",4.4
"ViVO Y12s (Phantom Black, 32 GB)",ViVO , Y12s ,Phantom Black,3 GB,32 GB,25% off,"₹10,490","Upto ₹9,900 Off on Exchange",4.3
"REDMI Note 9 (Shadow Black, 64 GB)",REDMI , Note 9 ,Shadow Black,4 GB,64 GB,,"₹13,495",,4.3
BlackZone B310,BlackZone , B310,,,,14% off,₹729,,3.9
LAVA Gem,LAVA , Gem,,,,14% off,"₹1,577",,4.2
"REDMI 9 Prime (Matte Black, 64 GB)",REDMI , 9 Prime ,Matte Black,4 GB,64 GB,16% off,"₹9,999","Upto ₹9,450 Off on Exchange",4.4
"MOTOROLA E7 Power (Tahiti Blue, 32 GB)",MOTOROLA , E7 Power ,Tahiti Blue,2 GB,32 GB,30% off,"₹6,999","Upto ₹6,450 Off on Exchange",4.2
"POCO X3 (Cobalt Blue, 64 GB)",POCO , X3 ,Cobalt Blue,6 GB,64 GB,25% off,"₹14,999","Upto ₹14,450 Off on Exchange",4.4
"realme 8 (Cyber Silver, 128 GB)",realme , 8 ,Cyber Silver,8 GB,128 GB,15% off,"₹15,999","Upto ₹15,300 Off on Exchange",4.4
"realme 8 (Cyber Black, 128 GB)",realme , 8 ,Cyber Black,4 GB,128 GB,17% off,"₹13,999","Upto ₹13,300 Off on Exchange",4.3
"realme C25s (Watery Blue, 64 GB)",realme , C25s ,Watery Blue,4 GB,64 GB,9% off,"₹9,999","Upto ₹9,450 Off on Exchange",4.3
"realme C25s (Watery Blue, 128 GB)",realme , C25s ,Watery Blue,4 GB,128 GB,8% off,"₹10,999","Upto ₹10,450 Off on Exchange",4.3
"SAMSUNG Galaxy F12 (Sea Green, 128 GB)",SAMSUNG , Galaxy F12 ,Sea Green,4 GB,128 GB,21% off,"₹10,999","Upto ₹10,450 Off on Exchange",4.2
"Redmi 9 (Carbon Black, 64 GB)",Redmi , 9 ,Carbon Black,4 GB,64 GB,,"₹9,240",,4.2
"MOTOROLA G30 (Dark Pearl, 64 GB)",MOTOROLA , G30 ,Dark Pearl,4 GB,64 GB,26% off,"₹10,999","Upto ₹10,450 Off on Exchange",4.1
"realme C21 (Cross Black, 32 GB)",realme , C21 ,Cross Black,3 GB,32 GB,20% off,"₹7,999","Upto ₹7,450 Off on Exchange",4.4
"realme C12 (Power Silver, 32 GB)",realme , C12 ,Power Silver,3 GB,32 GB,27% off,"₹7,999","Upto ₹7,450 Off on Exchange",4.4
"OPPO A12 (Deep Blue, 32 GB)",OPPO , A12 ,Deep Blue,3 GB,32 GB,27% off,"₹7,990","Upto ₹7,450 Off on Exchange",4.4
"realme Narzo 20 (Victory Blue, 64 GB)",realme , Narzo 20 ,Victory Blue,4 GB,64 GB,23% off,"₹9,999",,4.3
"realme C25 (Watery Blue, 64 GB)",realme , C25 ,Watery Blue,4 GB,64 GB,9% off,"₹9,999","Upto ₹9,450 Off on Exchange",4.4
